City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,Narsaq,GL,280.27,clear sky,60.9167,-46.05,Narsaq Kayak Hostel
4,Busselton,AU,288.75,broken clouds,-33.65,115.3333,Observatory Guest House
5,Diamantina,BR,284.78,broken clouds,-18.2494,-43.6003,POUSADA OURO DE MINAS
6,Hermanus,ZA,284.76,light rain,-34.4187,19.2345,Misty Waves Boutique Hotel
7,Richards Bay,ZA,288.63,clear sky,-28.783,32.0377,BON Hotel Waterfront Richards Bay
12,Samfya,ZM,287.56,clear sky,-11.3649,29.5565,Chita Lodge Samfya
17,Nowe Miasto Lubawskie,PL,288.17,overcast clouds,53.4208,19.5952,Na Szlaku Smaku
19,Quelimane,MZ,287.12,few clouds,-17.8786,36.8883,Hotel Flamingo
23,Yuzhno-Kurilsk,RU,289.25,overcast clouds,44.0306,145.8556,Guesthouse Berloga
24,Port Alfred,ZA,287.29,scattered clouds,-33.5906,26.891,The Halyards Hotel
28,Cidreira,BR,288.49,clear sky,-30.1811,-50.2056,Hotel Castelo
30,New Norfolk,AU,287.55,overcast clouds,-42.7826,147.0587,The Shingles Riverside Cottages
44,Narrabri,AU,289.54,overcast clouds,-30.3167,149.7833,Crossroads Hotel
59,Klaksvik,FO,282.66,overcast clouds,62.2266,-6.589,Airbnb rooms
65,Cape Town,ZA,284.88,broken clouds,-33.9258,18.4232,Southern Sun Waterfront Cape Town
71,Hobart,AU,287.74,broken clouds,-42.8794,147.3294,Mantra on Collins Hobart
72,Tasiilaq,GL,282.24,light rain,65.6145,-37.6368,The Red House
75,Yellowknife,CA,280.91,broken clouds,62.456,-114.3525,The Explorer Hotel
82,Taltal,CL,286.53,clear sky,-25.4,-70.4833,Residencial Karime
83,Darovskoy,RU,289.02,light rain,58.77,47.9564,"Hotel ""Central"""
88,Redondela,ES,288.85,clear sky,42.2834,-8.6096,Rua do Medio
