City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Vaini,TO,-21.2,-175.2,296.24,78,75,5.66,broken clouds
1,Norman Wells,CA,65.282,-126.8329,283.17,93,90,5.66,light rain
2,Nantucket,US,41.2835,-70.0995,295.35,95,29,4.06,scattered clouds
3,Upernavik,GL,72.7868,-56.1549,278.78,73,16,4.97,few clouds
4,Jamestown,US,42.097,-79.2353,301.95,57,1,4.12,clear sky
5,Los Lunas,US,34.8062,-106.7334,310.25,14,90,0.45,overcast clouds
6,Lompoc,US,34.6391,-120.4579,304.83,69,1,6.69,mist
7,New Norfolk,AU,-42.7826,147.0587,285.88,70,14,0.89,few clouds
8,Kapaa,US,22.0752,-159.319,302.33,66,20,1.34,few clouds
9,Salalah,OM,17.0151,54.0924,298.2,100,90,1.54,light intensity drizzle
10,Maykor,RU,59.0059,55.88,283.63,95,97,2.08,overcast clouds
11,Georgetown,MY,5.4112,100.3354,298.65,92,20,1.54,few clouds
12,Talnakh,RU,69.4865,88.3972,286.28,85,90,3.39,overcast clouds
13,Mataura,NZ,-46.1927,168.8643,281.75,86,93,3.01,overcast clouds
14,Rikitea,PF,-23.1203,-134.9692,295.45,85,58,5.91,light rain
15,Bria,CF,6.5423,21.9863,292.93,97,58,1.59,broken clouds
16,Aransas Pass,US,27.9095,-97.15,306.15,75,40,1.79,scattered clouds
17,Esperance,AU,-33.8667,121.9,285.06,72,73,10.8,broken clouds
18,Opuwo,NA,-18.0607,13.84,289.81,19,4,2.6,clear sky
19,Kuala Terengganu,MY,5.3302,103.1408,299.12,94,20,2.06,few clouds
20,Inongo,CD,-1.95,18.2667,293.9,73,14,1.48,few clouds
21,Bengkulu,ID,-3.8004,102.2655,297.35,89,100,1.8,overcast clouds
22,Bredasdorp,ZA,-34.5322,20.0403,279.77,81,0,1.54,clear sky
23,Hermanus,ZA,-34.4187,19.2345,283.09,73,2,2.29,clear sky
24,Bluff,NZ,-46.6,168.3333,281.93,91,74,8.74,broken clouds
25,Ushuaia,AR,-54.8,-68.3,279.96,61,40,11.32,light rain
26,Yellowknife,CA,62.456,-114.3525,286.44,100,90,7.2,overcast clouds
27,Avarua,CK,-21.2078,-159.775,299.18,78,40,4.63,scattered clouds
28,Port Lincoln,AU,-34.7333,135.8667,289.55,43,96,10.55,overcast clouds
29,Lazaro Cardenas,MX,17.9583,-102.2,300.23,83,92,1.76,overcast clouds
30,Busselton,AU,-33.65,115.3333,280.42,80,93,11.17,overcast clouds
31,Barrow,US,71.2906,-156.7887,277.16,87,90,3.6,light rain
32,Atuona,PF,-9.8,-139.0333,298.56,76,12,9.01,few clouds
33,Santo Antonio Do Ica,BR,-3.1022,-67.9397,299.54,75,47,0.96,scattered clouds
34,Sioux Lookout,CA,50.1001,-91.917,298.36,94,75,1.03,smoke
35,Soe,ID,-9.8607,124.284,293.9,77,58,2.09,broken clouds
36,Saint-Philippe,RE,-21.3585,55.7679,292.92,83,62,1.98,broken clouds
37,Lovozero,RU,68.005,35.0117,283.71,90,46,2.96,scattered clouds
38,Rudnogorsk,RU,57.2639,103.7519,289.27,55,94,0.7,overcast clouds
39,Anadyr,RU,64.75,177.4833,285.43,76,40,2.0,scattered clouds
40,Tuatapere,NZ,-46.1333,167.6833,281.94,94,94,3.18,light rain
41,Tuktoyaktuk,CA,69.4541,-133.0374,279.15,81,90,6.69,overcast clouds
42,Albany,US,42.6001,-73.9662,300.51,68,31,2.03,scattered clouds
43,Saldanha,ZA,-33.0117,17.9442,280.18,66,0,5.25,clear sky
44,Alamosa,US,37.4695,-105.87,303.14,10,1,6.8,clear sky
45,Mason City,US,43.1536,-93.201,301.4,65,1,2.06,clear sky
46,Kununurra,AU,-15.7667,128.7333,292.14,52,9,0.0,clear sky
47,Porto Belo,BR,-27.1578,-48.5531,291.92,92,63,2.74,broken clouds
48,Miyang,CN,24.4042,103.4428,293.69,95,100,0.97,overcast clouds
49,Coihaique,CL,-45.5752,-72.0662,277.12,65,0,1.54,clear sky
50,Touros,BR,-5.1989,-35.4608,298.65,81,3,5.76,clear sky
51,Batemans Bay,AU,-35.7167,150.1833,288.26,43,0,4.04,clear sky
52,Souillac,MU,-20.5167,57.5167,295.02,94,20,4.12,few clouds
53,Cidreira,BR,-30.1811,-50.2056,290.23,85,100,1.69,overcast clouds
54,Hilo,US,19.7297,-155.09,302.0,74,75,4.63,broken clouds
55,Punta Arenas,CL,-53.15,-70.9167,280.21,65,40,11.32,scattered clouds
56,Verkhneyarkeyevo,RU,55.4505,54.3145,291.8,49,91,2.83,overcast clouds
57,Santa Cruz,BO,-17.8,-63.1667,299.18,47,75,2.57,broken clouds
58,Cape Town,ZA,-33.9258,18.4232,283.21,87,0,1.54,clear sky
59,Cherskiy,RU,68.75,161.3,293.15,46,100,4.97,overcast clouds
60,Port Alfred,ZA,-33.5906,26.891,286.71,68,97,6.45,overcast clouds
61,Torbay,CA,47.6666,-52.7314,287.74,71,20,4.12,few clouds
62,Lermontovka,RU,47.1453,134.3383,291.93,61,62,2.09,broken clouds
63,Mahebourg,MU,-20.4081,57.7,294.96,94,20,4.12,few clouds
64,Hithadhoo,MV,-0.6,73.0833,300.54,72,97,2.51,overcast clouds
65,Egvekinot,RU,66.3167,-179.1667,282.22,59,65,0.85,broken clouds
66,Vuktyl,RU,63.8567,57.3094,282.93,90,100,1.16,overcast clouds
67,Chokurdakh,RU,70.6333,147.9167,292.05,45,67,4.39,broken clouds
68,Puerto Ayora,EC,-0.7393,-90.3518,294.26,78,37,4.6,scattered clouds
69,Trapani,IT,37.8333,12.6667,302.75,94,0,2.57,clear sky
70,Abu Kamal,SY,34.4506,40.9171,304.18,32,0,4.57,clear sky
71,Geraldton,AU,-28.7667,114.6,288.38,72,90,9.26,overcast clouds
72,Longyearbyen,SJ,78.2186,15.6401,279.06,93,40,2.57,fog
73,Numan,NG,9.4667,12.0333,298.02,80,99,4.07,overcast clouds
74,Bilibino,RU,68.0546,166.4372,289.89,34,81,3.66,broken clouds
75,Ribeira Grande,PT,38.5167,-28.7,295.36,84,2,1.38,clear sky
76,Ponta Do Sol,PT,32.6667,-17.1,294.66,78,13,0.7,few clouds
77,Vanimo,PG,-2.6741,141.3028,301.37,68,33,2.22,scattered clouds
78,Port Hardy,CA,50.6996,-127.4199,288.25,82,90,1.03,overcast clouds
79,Nome,US,64.5011,-165.4064,288.8,56,40,3.6,scattered clouds
80,Hobart,AU,-42.8794,147.3294,286.07,68,0,2.24,clear sky
81,Constitucion,CL,-35.3333,-72.4167,282.62,84,0,4.03,clear sky
